ID,Gender,Race,Ethnicity,Age,Income
195816,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),36.0,733.0
196342,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),30.0,770.5
197176,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),49.333333333333336,800.0
198059,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),71.5,620.0
198146,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),42.0,830.0
198302,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),34.0,500.0
198791,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),37.5,557.1428571428571
198803,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),45.0,796.0
199086,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),56.8,122.0
199190,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.333333333333336,558.6666666666666
199637,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),54.0,2000.0
200387,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),44.0,1100.0
200622,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),56.0,767.5
200794,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),50.0,750.0
201545,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),64.5,676.5
201818,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),27.0,376.5
201868,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),43.0,750.0
202524,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),32.5,1000.0
203189,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),55.5,1680.0
203783,Male,Black or African American (HUD),Hispanic/Latino (HUD),54.0,1000.0
204290,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),78.75,385.5
204335,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),33.666666666666664,1400.0
204770,Male,White (HUD),Hispanic/Latino (HUD),44.0,1900.0
205139,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),57.0,746.0
205165,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),31.0,764.0
205865,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),48.0,721.0
206814,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),51.0,795.0
